"restaurant_id","restaurant_name","restaurant_type","area","dine_rating","dine_reviews","delivery_rating","delivery_reviews","cost_for_two","liked"
"2925","Charcoal Eats","Quick Bites","Aundh","3.9","307","3.5","1939","350","Pizza, Iced Peach Tea, Chicken Tikka, Hyderabadi Biryani, Peri Peri Chicken, Mutton Biryani, Salted Caramel Mousse"
"2926","Charcoal Eats","Quick Bites","Wakad","4.1","243","3.4","1251","350","Rolls, Biryani, Mousse, Chicken Tikka Roll, Loaded Fries, Tandoori Fries, Kebab Platter"
"2927","Charcoal Eats","Quick Bites","Mariplex Mall, Kalyani Nagar","4.1","493","3.9","2277","350","Fries, Chicken Tikka Biryani, Chocolate Mousse, Chicken Roll, Exotic Pizza, Paratha, Rolls"
"2928","Charcoal Eats","","Amanora Town Centre, Hadapsar","3.8","178","3.3","1210","350","Fries, Pizza, Paneer Tikka, Onion Rings, Chicken Tikka Biryani, Salted Caramel Mousse, Chocolate Mousse"
"2929","Pizzitos","","Erandwane","3.6","9","0.0","0","500",""
"2930","Shaukeen - The Complete Paan Shop","Paan Shop","Erandwane","4.5","366","0.0","0","100",""
"2931","Hotel Maharaja","Quick Bites","Karve Nagar","4.0","349","3.5","153","300","Dal Kichadi, Nawabi Paneer, Veg Manchurian, Chicken Thali, Chicken Pakora, Sev Bhaji, Chicken Biryani"
"2932","Nutri Narcos","","Wakad","3.7","763","0.0","0","400","Healthy Breakfast, Custard, Veg Sandwich, Sprout Salad, Paneer Sandwich"
"2933","Ganesh Bhel","Quick Bites","Bhosari","3.3","21","4.3","579","200",""
"2934","Royalz","","Wadgaon Sheri","4.5","90","0.0","0","250",""
